Blue,Green,Red,Distance,Light,Color,ColorDetect,ColorNum
15.62,13.41,70.97,6,0,Red,Yes,1
15.31,13.12,71.57,6,0,Red,Yes,1
15.25,13.08,71.66,6,0,Red,Yes,1
15.22,14.35,70.42,6,0,Red,Yes,1
15.34,14.44,70.22,6,0,Red,Yes,1
15.59,14.77,69.64,6,0,Red,Yes,1
15.38,13.17,71.45,6,0,Red,Yes,1
15.14,13.26,71.61,6,0,Red,Yes,1
15.23,14.33,70.44,6,0,Red,Yes,1
14.88,12.38,72.74,9,0,Red,Yes,1
14.9,12.53,72.57,9,0,Red,Yes,1
14.75,12.36,72.89,9,0,Red,Yes,1
14.74,12.42,72.84,9,0,Red,Yes,1
14.77,12.26,72.98,9,0,Red,Yes,1
14.76,12.42,72.82,9,0,Red,Yes,1
14.94,12.3,72.75,9,0,Red,Yes,1
14.75,12.29,72.96,9,0,Red,Yes,1
14.86,12.35,72.78,9,0,Red,Yes,1
14.87,12.33,72.8,9,0,Red,Yes,1
14.49,12.12,73.4,12,0,Red,Yes,1
15.03,12.36,72.6,12,0,Red,Yes,1
14.56,12.11,73.34,12,0,Red,Yes,1
14.54,12.05,73.41,12,0,Red,Yes,1
14.65,12.03,73.33,12,0,Red,Yes,1
14.7,11.96,73.34,12,0,Red,Yes,1
14.53,12.16,73.31,12,0,Red,Yes,1
14.63,12.06,73.31,12,0,Red,Yes,1
14.6,12.13,73.27,12,0,Red,Yes,1
14.62,12.01,73.37,12,0,Red,Yes,1
14.86,12.25,72.89,15,0,Red,Yes,1
15.4,13.12,71.48,15,0,Red,Yes,1
14.71,12.3,73,15,0,Red,Yes,1
14.83,12.2,72.97,15,0,Red,Yes,1
14.74,12.23,73.03,15,0,Red,Yes,1
14.93,12.13,72.93,15,0,Red,Yes,1
14.66,12.21,73.13,15,0,Red,Yes,1
14.62,12.14,73.24,15,0,Red,Yes,1
14.68,12.16,73.16,15,0,Red,Yes,1
14.74,12.13,73.14,15,0,Red,Yes,1
6.89,10.92,82.19,18,0,Red,Yes,1
7.45,11.15,81.4,18,0,Red,Yes,1
7.36,10.78,81.87,18,0,Red,Yes,1
7.22,10.86,81.92,18,0,Red,Yes,1
7.24,10.91,81.86,18,0,Red,Yes,1
7.38,10.86,81.75,18,0,Red,Yes,1
7.42,10.95,81.63,18,0,Red,Yes,1
7.49,10.99,81.52,18,0,Red,Yes,1
7.23,11.11,81.65,18,0,Red,Yes,1
7.33,11.12,81.54,18,0,Red,Yes,1
11.42,12.13,76.45,21,0,Red,Yes,1
11.48,11.76,76.76,21,0,Red,Yes,1
11.59,11.89,76.52,21,0,Red,Yes,1
11.73,11.78,76.49,21,0,Red,Yes,1
11.74,11.83,76.43,21,0,Red,Yes,1
11.54,11.78,76.68,21,0,Red,Yes,1
11.56,11.8,76.64,21,0,Red,Yes,1
11.56,11.78,76.66,21,0,Red,Yes,1
11.56,11.76,76.68,21,0,Red,Yes,1
11.36,11.78,76.86,21,0,Red,Yes,1
14.56,11.78,73.66,24,0,Red,Yes,1
14.49,12.23,73.28,24,0,Red,Yes,1
14.61,11.8,73.59,24,0,Red,Yes,1
14.49,11.76,73.74,24,0,Red,Yes,1
14.47,11.8,73.73,24,0,Red,Yes,1
14.49,11.87,73.64,24,0,Red,Yes,1
14.53,11.78,73.69,24,0,Red,Yes,1
14.61,11.75,73.64,24,0,Red,Yes,1
14.44,11.87,73.69,24,0,Red,Yes,1
14.45,11.78,73.77,24,0,Red,Yes,1
